comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,delta_AUROC,delta_PR_AUC,delta_Brier_improvement,delta_log_loss_improvement,core_calibration_intercept,extended_calibration_intercept,core_calibration_slope,extended_calibration_slope,absolute_intercept_deviation_change,absolute_slope_deviation_change,imbalance_setting,sensitivity_family
combined,elastic_net,2015-2016,2246,266,combined_fasting_weight,model0_paired_combined,model4_combined,0.0089493203266123,0.0348716602826695,0.0016879092869769,0.0055396201717337,0.0689306530634279,0.1044041276479244,1.077394208457339,1.0871372055198714,-0.0354734745844965,-0.0097429970625324,main_observed_class_distribution,Class imbalance
combined,elastic_net,2017-2018,2279,287,combined_fasting_weight,model0_paired_combined,model4_combined,0.0037426004951637,0.026567757519007,0.0005856394125219,0.0012108498845993,-0.1987602530811139,-0.2131894158640107,0.8858956257277599,0.8598981287074585,-0.0144291627828967,-0.0259974970203014,main_observed_class_distribution,Class imbalance
inflammatory,elastic_net,2005-2006,4448,533,combined_mec_weight,model0_core,model3_inflammatory,0.002950253688726,0.0069647088047425,0.0003418973040958,0.0013944623706921,0.1059471704405738,0.1334182326801463,0.9947416253587584,1.0056286794560052,-0.0274710622395724,-0.0003703048147636,main_observed_class_distribution,Class imbalance
inflammatory,elastic_net,2007-2008,5649,677,combined_mec_weight,model0_core,model3_inflammatory,0.0008570576468507,0.0074582765028863,0.0002814743925179,0.0006780370211076,0.0694536225810092,0.0949097013268798,1.0249267128685786,1.0341110403812852,-0.0254560787458705,-0.0091843275127065,main_observed_class_distribution,Class imbalance
inflammatory,elastic_net,2009-2010,5990,646,combined_mec_weight,model0_core,model3_inflammatory,0.0001554274029232,0.0028907367592683,0.0001138888941987,0.0002242163660594,-0.1685420313155057,-0.1600087521752375,0.9537351286056368,0.95382028822204,0.0085332791402681,8.515961640309655e-05,main_observed_class_distribution,Class imbalance
inflammatory,elastic_net,2011-2012,5260,550,combined_mec_weight,model0_core,model3_inflammatory,0.0011908636450708,0.0036056812687758,0.0002664180549505,0.0005881278557764,-0.046631888996513,-0.0275412305174431,0.9539106390038112,0.9576590654564436,0.0190906584790698,0.0037484264526325,main_observed_class_distribution,Class imbalance
inflammatory,elastic_net,2013-2014,5522,573,combined_mec_weight,model0_core,model3_inflammatory,0.0009006344154011,-0.0006572140803328,4.438903380464543e-05,0.0003537013871765,-0.0458306735658907,-0.0791041404702539,0.9919471897383998,0.9838899238670372,-0.0332734669043631,-0.0080572658713626,main_observed_class_distribution,Class imbalance
inflammatory,elastic_net,2015-2016,5404,597,combined_mec_weight,model0_core,model3_inflammatory,0.0008743577332191,0.0073755452938409,0.0002405326027466,0.0006231071733115,0.0233468793390476,0.0080206162297826,1.051649985296686,1.0496766897241891,0.015326263109265,0.0019732955724967,main_observed_class_distribution,Class imbalance
inflammatory,elastic_net,2017-2018,5209,646,combined_mec_weight,model0_core,model3_inflammatory,0.000804526136902,-0.0048071273086001,-0.0002326228376134,-0.0001965383929822,0.0030521736358593,-0.0181983066303787,0.996529070884836,0.9860410184983605,-0.0151461329945193,-0.0104880523864757,main_observed_class_distribution,Class imbalance
metabolic,elastic_net,2005-2006,1836,216,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.0033671314824368,0.0050257472553797,0.0002699588961467,0.0015475743921466,-0.0374520110084045,-0.0254330373707624,0.9169226161188438,0.9269292456119126,0.0120189736376421,0.0100066294930687,main_observed_class_distribution,Class imbalance
metabolic,elastic_net,2007-2008,2337,288,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.0007543095902587,-0.0043164197658073,-1.362850219187306e-05,0.0002892503817994,0.0853609644835697,0.0719632254390384,1.034723669788501,1.0299380556321265,0.0133977390445313,0.0047856141563746,main_observed_class_distribution,Class imbalance
metabolic,elastic_net,2009-2010,2594,273,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.002072703296898,0.001174192149474,0.0002621680225396,0.0010024670224908,-0.1676307334190429,-0.1427029267267962,0.9693975315895426,0.9787573198908762,0.0249278066922467,0.0093597883013336,main_observed_class_distribution,Class imbalance
metabolic,elastic_net,2011-2012,2294,239,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.0017418089271211,0.0006013971812859,5.311271871205614e-05,0.0002832590580026,-0.0436802548665805,-0.0595765688356436,0.9109750364633608,0.9064394364242851,-0.0158963139690631,-0.0045356000390757,main_observed_class_distribution,Class imbalance
metabolic,elastic_net,2013-2014,2370,244,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,-0.0001407987987935,0.0002090339026736,0.0001950311879257,0.000220577649103,0.1728778828919388,0.1672231598119015,1.1480926140439265,1.141838295117622,0.0056547230800373,0.0062543189263044,main_observed_class_distribution,Class imbalance
metabolic,elastic_net,2015-2016,2246,266,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.0013124950929398,0.0036913069697706,0.000352797814132,0.0009103972813599,0.0689306530634279,0.0776968648536288,1.077394208457339,1.0879437601908104,-0.0087662117902009,-0.0105495517334714,main_observed_class_distribution,Class imbalance
metabolic,elastic_net,2017-2018,2279,287,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.0003310589344732,-0.0024652187211272,-0.0003341213459908,-0.0007038435283351,-0.1987602530811139,-0.2087058988331604,0.8858956257277599,0.874564041479537,-0.0099456457520464,-0.0113315842482228,main_observed_class_distribution,Class imbalance
renal,elastic_net,2005-2006,4448,533,combined_mec_weight,model0_core,model1_renal,0.0046418054142439,0.024684182274646,0.0015217134883704,0.0041336814116645,0.1059471704405738,0.0968682150259726,0.9947416253587584,1.0125363301634642,0.0090789554146012,-0.0072779555222226,main_observed_class_distribution,Class imbalance
renal,elastic_net,2007-2008,5649,677,combined_mec_weight,model0_core,model1_renal,0.0037861538481039,0.022436336395159,0.0010518435161586,0.0029070433599694,0.0694536225810092,0.076392169611588,1.0249267128685786,1.026515944215799,-0.0069385470305787,-0.0015892313472203,main_observed_class_distribution,Class imbalance
renal,elastic_net,2009-2010,5990,646,combined_mec_weight,model0_core,model1_renal,0.0037137954296554,0.0013463576590094,0.0002819006059968,0.0013670895963004,-0.1685420313155057,-0.1760532850015135,0.9537351286056368,0.938582136380677,-0.0075112536860078,-0.0151529922249599,main_observed_class_distribution,Class imbalance
renal,elastic_net,2011-2012,5260,550,combined_mec_weight,model0_core,model1_renal,0.0051694627894353,0.0251976691470655,0.0012357341747646,0.0035647707494809,-0.046631888996513,-0.0267213358427725,0.9539106390038112,0.9601564411194166,0.0199105531537404,0.0062458021156053,main_observed_class_distribution,Class imbalance
renal,elastic_net,2013-2014,5522,573,combined_mec_weight,model0_core,model1_renal,0.0066796834053932,0.0179165268054188,0.0013177920286472,0.004087794399938,-0.0458306735658907,-0.0433313579056661,0.9919471897383998,1.0091755372954163,0.0024993156602245,-0.0011227270338163,main_observed_class_distribution,Class imbalance
renal,elastic_net,2015-2016,5404,597,combined_mec_weight,model0_core,model1_renal,0.0051359957379116,0.011889917387983,0.0006619465176565,0.0023598526604986,0.0233468793390476,0.010850448054113,1.051649985296686,1.0354276245969531,0.0124964312849346,0.0162223606997327,main_observed_class_distribution,Class imbalance
renal,elastic_net,2017-2018,5209,646,combined_mec_weight,model0_core,model1_renal,0.0021899034561523,0.0117944694600057,0.0002148962522229,0.0008415218173746,0.0030521736358593,0.0016971981283574,0.996529070884836,0.9840004741257556,0.0013549755075019,-0.0125285967590805,main_observed_class_distribution,Class imbalance
