comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,delta_AUROC,delta_PR_AUC,delta_Brier_improvement,delta_log_loss_improvement,core_calibration_intercept,extended_calibration_intercept,core_calibration_slope,extended_calibration_slope,absolute_intercept_deviation_change,absolute_slope_deviation_change,uacr_method,sensitivity_family
combined,elastic_net,2017-2018,2279,287,combined_fasting_weight,model0_paired_combined,model4_combined,0.0036109964728573,0.0269766936243768,0.0005896891219502,0.001183646518191,-0.198760253081113,-0.2146409192237389,0.8858956257277604,0.8589871215090854,-0.0158806661426259,-0.0269085042186749,nested_multiple_imputation,UACR handling
renal,elastic_net,2005-2006,4448,533,combined_mec_weight,model0_core,model1_renal,0.0049663381069549,0.0271015747854169,0.001699480877016,0.0045315245239058,0.1059471704405748,0.1005555555238049,0.9947416253587597,1.0138038316484732,0.0053916149167698,-0.0085454570072328,nested_multiple_imputation,UACR handling
renal,elastic_net,2007-2008,5649,677,combined_mec_weight,model0_core,model1_renal,0.0044663726289243,0.0250248512094143,0.0011708206930233,0.0033018206025713,0.0694536225810107,0.0805447995713095,1.024926712868579,1.0296857567813693,-0.0110911769902987,-0.0047590439127902,nested_multiple_imputation,UACR handling
renal,elastic_net,2009-2010,5990,646,combined_mec_weight,model0_core,model1_renal,0.0037533810351303,0.0011776354697425,0.0002839881090977,0.0013848452384049,-0.1685420313155046,-0.1729671469296611,0.9537351286056378,0.9390873617840522,-0.0044251156141564,-0.0146477668215856,nested_multiple_imputation,UACR handling
renal,elastic_net,2011-2012,5260,550,combined_mec_weight,model0_core,model1_renal,0.0056388171945127,0.0263778297919498,0.0013314879625224,0.0038701774183234,-0.0466318889965126,-0.0229803720771239,0.953910639003812,0.9623354173787472,0.0236515169193886,0.0084247783749353,nested_multiple_imputation,UACR handling
renal,elastic_net,2013-2014,5522,573,combined_mec_weight,model0_core,model1_renal,0.0071684272410332,0.0196638837703146,0.0014010904105527,0.0043818708651513,-0.0458306735658895,-0.0390736208491949,0.9919471897384008,1.0118943191936474,0.0067570527166946,-0.0038415089320481,nested_multiple_imputation,UACR handling
renal,elastic_net,2015-2016,5404,597,combined_mec_weight,model0_core,model1_renal,0.0052100143354603,0.0119040730544904,0.000689156006378,0.0024153815465222,0.023346879339049,0.0111718048400119,1.051649985296687,1.0352091965821244,0.0121750744990371,0.0164407887145625,nested_multiple_imputation,UACR handling
renal,elastic_net,2017-2018,5209,646,combined_mec_weight,model0_core,model1_renal,0.002193539504083,0.0121315741679812,0.0002360589797216,0.0008637160211851,0.0030521736358603,-9.529508889041804e-05,0.9965290708848372,0.983001425553332,0.0029568785469699,-0.0135276453315051,nested_multiple_imputation,UACR handling
combined,elastic_net,2005-2006,1814,206,combined_fasting_weight_x_stabilized_uacr_ipw,model0_paired_combined,model4_combined,0.0151559078912639,0.051394093275174,0.0027045507376304,0.009492269895404,-0.0844193846451264,-0.0253516216502505,0.8984169983716737,0.959363739464953,0.0590677629948758,0.0609467410932793,stabilized_ipw_complete_case,UACR handling
combined,elastic_net,2007-2008,2295,273,combined_fasting_weight_x_stabilized_uacr_ipw,model0_paired_combined,model4_combined,0.0097247135550566,0.0208160828353667,0.0009472506921995,0.0041529958974729,0.0902036270643839,0.0386081474947494,1.0314214025368789,1.0130999205483344,0.0515954795696345,0.0183214819885444,stabilized_ipw_complete_case,UACR handling
