comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,delta_AUROC,delta_PR_AUC,delta_Brier_improvement,delta_log_loss_improvement,core_calibration_intercept,extended_calibration_intercept,core_calibration_slope,extended_calibration_slope,absolute_intercept_deviation_change,absolute_slope_deviation_change,uacr_method
combined,xgboost,2013-2014,2370,244,combined_fasting_weight,model0_paired_combined,model4_combined,-0.0011211778806167,0.0296671757898243,0.0013613672562244,0.0019197711984326,0.0801830471691164,0.0039954514882803,1.1170008469740706,1.0889461193840153,0.0761875956808361,0.0280547275900553,main_fold_median
combined,xgboost,2015-2016,2246,266,combined_fasting_weight,model0_paired_combined,model4_combined,0.0072738745657456,0.0336000061796991,0.0015949181336032,0.0051470904968361,0.0293847133978575,0.1258605823652541,1.1004014630029793,1.1434170462061777,-0.0964758689673966,-0.0430155832031982,main_fold_median
combined,xgboost,2017-2018,2279,287,combined_fasting_weight,model0_paired_combined,model4_combined,-0.0081067536807025,-0.0018204377373001,-0.0014417637155636,-0.0057377784547072,-0.2660737058986587,-0.3742472545287988,0.8588814226538483,0.7831014805790433,-0.1081735486301401,-0.0757799420748049,main_fold_median
renal,elastic_net,2005-2006,4448,533,combined_mec_weight,model0_core,model1_renal,0.0046418054142439,0.024684182274646,0.0015217134883704,0.0041336814116645,0.1059471704405738,0.0968682150259723,0.9947416253587584,1.0125363301634642,0.0090789554146015,-0.0072779555222226,main_fold_median
renal,elastic_net,2007-2008,5649,677,combined_mec_weight,model0_core,model1_renal,0.0037861538481039,0.022436336395159,0.0010518435161586,0.0029070433599694,0.0694536225810092,0.076392169611588,1.0249267128685786,1.026515944215799,-0.0069385470305787,-0.0015892313472203,main_fold_median
renal,elastic_net,2009-2010,5990,646,combined_mec_weight,model0_core,model1_renal,0.0037137954296554,0.0013463576590094,0.0002819006059968,0.0013670895963004,-0.1685420313155057,-0.1760532850015135,0.9537351286056368,0.938582136380677,-0.0075112536860078,-0.0151529922249599,main_fold_median
renal,elastic_net,2011-2012,5260,550,combined_mec_weight,model0_core,model1_renal,0.0051694627894353,0.0251976691470655,0.0012357341747646,0.0035647707494809,-0.046631888996513,-0.0267213358427729,0.9539106390038112,0.9601564411194164,0.01991055315374,0.0062458021156052,main_fold_median
renal,elastic_net,2013-2014,5522,573,combined_mec_weight,model0_core,model1_renal,0.0066796834053932,0.0179165268054188,0.0013177920286472,0.004087794399938,-0.0458306735658907,-0.0433313579056661,0.9919471897383998,1.0091755372954163,0.0024993156602245,-0.0011227270338163,main_fold_median
renal,elastic_net,2015-2016,5404,597,combined_mec_weight,model0_core,model1_renal,0.0051359957379116,0.011889917387983,0.0006619465176565,0.0023598526604986,0.0233468793390478,0.0108504480541131,1.051649985296686,1.0354276245969531,0.0124964312849347,0.0162223606997327,main_fold_median
renal,elastic_net,2017-2018,5209,646,combined_mec_weight,model0_core,model1_renal,0.0021899034561523,0.0117944694600057,0.0002148962522229,0.0008415218173746,0.0030521736358594,0.0016971981283588,0.996529070884836,0.9840004741257558,0.0013549755075005,-0.0125285967590803,main_fold_median
renal,xgboost,2005-2006,4448,533,combined_mec_weight,model0_core,model1_renal,0.0028764217003445,0.0154991908220483,0.0015825039436733,0.0033171342473027,0.3468511733231409,0.1420062552069501,1.0914968823179605,1.0015878065308796,0.2048449181161908,0.0899090757870808,main_fold_median
renal,xgboost,2007-2008,5649,677,combined_mec_weight,model0_core,model1_renal,0.0017032643142094,0.0205958060592757,0.0008831172126543,0.0019450993761291,0.2212083510897919,0.2254947071665127,1.104812553275733,1.1037839752213274,-0.0042863560767207,0.0010285780544054,main_fold_median
renal,xgboost,2009-2010,5990,646,combined_mec_weight,model0_core,model1_renal,0.0018395386169134,-0.0039854751624918,9.026916308855354e-05,0.0005747934814631,-0.0438584459712324,-0.0655482908954945,1.0171474202076225,0.9911562778110752,-0.021689844924262,0.0083036980186976,main_fold_median
renal,xgboost,2011-2012,5260,550,combined_mec_weight,model0_core,model1_renal,0.003374370841032,0.0205422997208663,0.0007379659315942,0.0024529822684883,-0.0319978850096642,-0.0233913023014305,0.946170515642207,0.9556868178578825,0.0086065827082336,0.0095163022156753,main_fold_median
renal,xgboost,2013-2014,5522,573,combined_mec_weight,model0_core,model1_renal,0.0049588543271796,0.0032178250131638,0.0007717071085598,0.0026738723788826,-0.1563997569718704,-0.164223122336189,0.9440151005637388,0.956884838000046,-0.0078233653643186,0.0128697374363071,main_fold_median
renal,xgboost,2015-2016,5404,597,combined_mec_weight,model0_core,model1_renal,0.0024748602364177,0.0078341545755119,0.0003331097480706,0.0010810949436254,0.0141481790484977,0.0030167466500898,1.061405147115536,1.0473341650878103,0.0111314323984078,0.0140709820277256,main_fold_median
renal,xgboost,2017-2018,5209,646,combined_mec_weight,model0_core,model1_renal,0.0019031486526219,0.0079499405309175,0.0001298867534393,0.0007280935708355,0.000775584976356,0.027837428766819,1.0079333879078458,1.0095120407750413,-0.027061843790463,-0.0015786528671954,main_fold_median
combined,elastic_net,2005-2006,1836,216,combined_fasting_weight,model0_paired_combined,model4_combined,0.015194726506413,0.0534577329482012,0.0029229573465695,0.0098592542438931,-0.0374520110084037,0.0230035328281814,0.9169226161188448,0.9803039408101968,0.0144484781802222,0.0633813246913519,nested_multiple_imputation
combined,elastic_net,2007-2008,2337,288,combined_fasting_weight,model0_paired_combined,model4_combined,0.0098337344161977,0.0219482396239773,0.0011667906867166,0.0046602636549276,0.0853609644835705,0.0453302602329875,1.0347236697885025,1.0211851026656191,0.0400307042505829,0.0135385671228829,nested_multiple_imputation
combined,elastic_net,2009-2010,2594,273,combined_fasting_weight,model0_paired_combined,model4_combined,0.0054211566796468,0.0026416222127537,0.0005679259097062,0.0024057884339426,-0.1676307334190422,-0.156316151119022,0.9693975315895428,0.9584166274236774,0.0113145823000201,-0.0109809041658655,nested_multiple_imputation
combined,elastic_net,2011-2012,2294,239,combined_fasting_weight,model0_paired_combined,model4_combined,0.0068691740471465,0.0238663179590795,0.0016195039759734,0.004459685890074,-0.0436802548665809,-0.0195004149584615,0.9109750364633612,0.9128215216945332,0.0241798399081194,0.0018464852311718,nested_multiple_imputation
combined,elastic_net,2013-2014,2370,244,combined_fasting_weight,model0_paired_combined,model4_combined,0.0040522033474386,0.0192096376793344,0.0016036783038582,0.0034524104273561,0.1728778828919384,0.0890501330596547,1.148092614043927,1.120230308583534,0.0838277498322836,0.027862305460393,nested_multiple_imputation
combined,elastic_net,2015-2016,2246,266,combined_fasting_weight,model0_paired_combined,model4_combined,0.008990355509753,0.0342777478917878,0.0017103000175422,0.0055663653046423,0.0689306530634271,0.107385818337642,1.0773942084573394,1.0879932796979928,-0.0384551652742149,-0.0105990712406534,nested_multiple_imputation
combined,elastic_net,2017-2018,2279,287,combined_fasting_weight,model0_paired_combined,model4_combined,0.0036109964728573,0.0269766936243768,0.0005896891219502,0.001183646518191,-0.198760253081113,-0.2146409192237389,0.8858956257277604,0.8589871215090854,-0.0158806661426259,-0.0269085042186749,nested_multiple_imputation
combined,xgboost,2005-2006,1836,216,combined_fasting_weight,model0_paired_combined,model4_combined,0.0093130600318209,0.0601100024320215,0.0027930590112594,0.0081315522592293,0.1921354518804818,0.2063199204448094,1.0130147394699711,1.0403603395512269,-0.0141844685643276,-0.0273456000812557,nested_multiple_imputation
combined,xgboost,2007-2008,2337,288,combined_fasting_weight,model0_paired_combined,model4_combined,0.0070214118235726,0.0263072242250935,0.0014103156768276,0.0046539118725151,0.195759776935215,0.2432416582344024,1.0888872147794069,1.1037643971500648,-0.0474818812991874,-0.0148771823706579,nested_multiple_imputation
combined,xgboost,2009-2010,2594,273,combined_fasting_weight,model0_paired_combined,model4_combined,0.0027240817239621,-0.0177943101019979,-0.0004177261721921,0.0002450901958283,-0.0740257688265134,-0.1788518179287755,1.005044236431221,0.9318046090563084,-0.1048260491022621,-0.0631511545124704,nested_multiple_imputation
combined,xgboost,2011-2012,2294,239,combined_fasting_weight,model0_paired_combined,model4_combined,0.0062422722182371,0.022341811258881,0.0011823711630719,0.003871780837294,0.02567756042937,0.0669758247571018,0.9296720868938608,0.9459066338041292,-0.0412982643277318,0.0162345469102683,nested_multiple_imputation
combined,xgboost,2013-2014,2370,244,combined_fasting_weight,model0_paired_combined,model4_combined,-0.0009136420896823,0.0282726637919431,0.0012022327339994,0.0017111243035342,0.0801830595347681,0.0140603674595288,1.117000853618734,1.0922802011342467,0.0661226920752392,0.0247206524844871,nested_multiple_imputation
combined,xgboost,2015-2016,2246,266,combined_fasting_weight,model0_paired_combined,model4_combined,0.0087185275788478,0.034380234640005,0.0018057080661309,0.005847292235353,0.0293847162366266,0.1343224700651612,1.1004014635119594,1.1519285964427557,-0.1049377538285346,-0.0515271329307962,nested_multiple_imputation
combined,xgboost,2017-2018,2279,287,combined_fasting_weight,model0_paired_combined,model4_combined,-0.0070253889547275,0.0027382040206577,-0.0010649683853767,-0.0047211835156159,-0.2660737029183899,-0.3586019858695003,0.8588814231053581,0.7902735945800927,-0.0925282829511103,-0.0686078285252653,nested_multiple_imputation
renal,elastic_net,2005-2006,4448,533,combined_mec_weight,model0_core,model1_renal,0.0049663381069549,0.0271015747854169,0.001699480877016,0.0045315245239058,0.1059471704405748,0.1005555555238049,0.9947416253587597,1.0138038316484732,0.0053916149167698,-0.0085454570072328,nested_multiple_imputation
renal,elastic_net,2007-2008,5649,677,combined_mec_weight,model0_core,model1_renal,0.0044663726289243,0.0250248512094143,0.0011708206930233,0.0033018206025713,0.0694536225810107,0.0805447995713095,1.024926712868579,1.0296857567813693,-0.0110911769902987,-0.0047590439127902,nested_multiple_imputation
renal,elastic_net,2009-2010,5990,646,combined_mec_weight,model0_core,model1_renal,0.0037533810351303,0.0011776354697425,0.0002839881090977,0.0013848452384049,-0.1685420313155046,-0.1729671469296611,0.9537351286056378,0.9390873617840522,-0.0044251156141564,-0.0146477668215856,nested_multiple_imputation
renal,elastic_net,2011-2012,5260,550,combined_mec_weight,model0_core,model1_renal,0.0056388171945127,0.0263778297919498,0.0013314879625224,0.0038701774183234,-0.0466318889965126,-0.0229803720771239,0.953910639003812,0.9623354173787472,0.0236515169193886,0.0084247783749353,nested_multiple_imputation
renal,elastic_net,2013-2014,5522,573,combined_mec_weight,model0_core,model1_renal,0.0071684272410332,0.0196638837703146,0.0014010904105527,0.0043818708651513,-0.0458306735658895,-0.0390736208491949,0.9919471897384008,1.0118943191936474,0.0067570527166946,-0.0038415089320481,nested_multiple_imputation
renal,elastic_net,2015-2016,5404,597,combined_mec_weight,model0_core,model1_renal,0.0052100143354603,0.0119040730544904,0.000689156006378,0.0024153815465222,0.023346879339049,0.0111718048400119,1.051649985296687,1.0352091965821244,0.0121750744990371,0.0164407887145625,nested_multiple_imputation
renal,elastic_net,2017-2018,5209,646,combined_mec_weight,model0_core,model1_renal,0.002193539504083,0.0121315741679812,0.0002360589797216,0.0008637160211851,0.0030521736358603,-9.529508889041804e-05,0.9965290708848372,0.983001425553332,0.0029568785469699,-0.0135276453315051,nested_multiple_imputation
renal,xgboost,2005-2006,4448,533,combined_mec_weight,model0_core,model1_renal,0.0024310054633724,0.0202165731120365,0.0016327102870107,0.0033521466578159,0.3468511791392593,0.1501774750460824,1.0914968830926814,1.0062267640602962,0.1966737040931768,0.0852701190323852,nested_multiple_imputation
renal,xgboost,2007-2008,5649,677,combined_mec_weight,model0_core,model1_renal,0.0020354994692142,0.0232134827366508,0.0010333344231318,0.0022728152414043,0.2212083505528824,0.2290024618756525,1.1048125515694465,1.1072503757430088,-0.0077941113227701,-0.0024378241735623,nested_multiple_imputation
renal,xgboost,2009-2010,5990,646,combined_mec_weight,model0_core,model1_renal,0.0017710019381118,-0.0024789584759236,0.0001318192427885,0.0006480447780289,-0.0438584384975872,-0.0607917833005503,1.0171474218694927,0.9932327545239676,-0.016933344802963,0.0103801763934602,nested_multiple_imputation
renal,xgboost,2011-2012,5260,550,combined_mec_weight,model0_core,model1_renal,0.003973963804193,0.0244807462453807,0.0009045294862637,0.0028698322885247,-0.0319978825679706,-0.0129566879655722,0.9461705154658572,0.9611972361465918,0.0190411946023984,0.0150267206807345,nested_multiple_imputation
renal,xgboost,2013-2014,5522,573,combined_mec_weight,model0_core,model1_renal,0.00485526742161,0.0024903200959861,0.00077992081352,0.002666390506459,-0.1563997518039331,-0.1580541817645613,0.9440151024503048,0.9605554246835504,-0.0016544299606281,0.0165403222332456,nested_multiple_imputation
renal,xgboost,2015-2016,5404,597,combined_mec_weight,model0_core,model1_renal,0.0024468006415792,0.0108845997320541,0.0005076210500907,0.001437057415748,0.014148183319893,0.0056550470965394,1.0614051482404028,1.0487639806397395,0.0084931362233535,0.012641167600663,nested_multiple_imputation
renal,xgboost,2017-2018,5209,646,combined_mec_weight,model0_core,model1_renal,0.0014337242805779,0.0130404173037218,0.0001563075371735,0.0006151112713707,0.0007755859606321,0.0235440724488473,1.0079333868495517,1.0056446264320271,-0.0227684864882151,0.0022887604175243,nested_multiple_imputation
combined,elastic_net,2005-2006,1814,206,combined_fasting_weight_x_stabilized_uacr_ipw,model0_paired_combined,model4_combined,0.0151559078912639,0.051394093275174,0.0027045507376304,0.009492269895404,-0.0844193846451264,-0.0253516216502505,0.8984169983716737,0.959363739464953,0.0590677629948758,0.0609467410932793,stabilized_ipw_complete_case
combined,elastic_net,2007-2008,2295,273,combined_fasting_weight_x_stabilized_uacr_ipw,model0_paired_combined,model4_combined,0.0097247135550566,0.0208160828353667,0.0009472506921995,0.0041529958974729,0.0902036270643839,0.0386081474947494,1.0314214025368789,1.0130999205483344,0.0515954795696345,0.0183214819885444,stabilized_ipw_complete_case
combined,elastic_net,2009-2010,2567,262,combined_fasting_weight_x_stabilized_uacr_ipw,model0_paired_combined,model4_combined,0.004918577697595,0.0057127162049971,0.0005895170150414,0.0023031065969474,-0.1579770980766204,-0.1438768449829056,0.9708850067843178,0.9592774200020306,0.0141002530937147,-0.0116075867822871,stabilized_ipw_complete_case
combined,elastic_net,2011-2012,2273,229,combined_fasting_weight_x_stabilized_uacr_ipw,model0_paired_combined,model4_combined,0.006317435251272,0.0237087775887361,0.0014362458505983,0.0039678523037257,-0.0618265520401217,-0.0453056041935263,0.902705205040758,0.901572457059889,0.0165209478465953,-0.0011327479808689,stabilized_ipw_complete_case
combined,elastic_net,2013-2014,2342,236,combined_fasting_weight_x_stabilized_uacr_ipw,model0_paired_combined,model4_combined,0.0060648755176224,0.0241308455379111,0.0019609064200199,0.0045389094279903,0.1651187555394996,0.1047999116988417,1.1450872553631206,1.133774667294443,0.0603188438406579,0.0113125880686772,stabilized_ipw_complete_case
combined,elastic_net,2015-2016,2222,261,combined_fasting_weight_x_stabilized_uacr_ipw,model0_paired_combined,model4_combined,0.0087455192243143,0.0344693182554131,0.0017290237002245,0.0054432396726453,0.1397196903762714,0.1715401095407056,1.1213236461395122,1.1286591939164117,-0.0318204191644342,-0.0073355477768992,stabilized_ipw_complete_case
combined,elastic_net,2017-2018,2250,277,combined_fasting_weight_x_stabilized_uacr_ipw,model0_paired_combined,model4_combined,0.0017016651919226,0.0238500468157759,0.0002997753477957,0.0003152911758192,-0.1979559062061905,-0.223688685432792,0.88542470467012,0.8510613511537,-0.0257327792266014,-0.03436335351642,stabilized_ipw_complete_case
combined,xgboost,2005-2006,1814,206,combined_fasting_weight_x_stabilized_uacr_ipw,model0_paired_combined,model4_combined,0.0114560566819921,0.0584778728105274,0.0026760680429721,0.008773380952772,0.1334908201686832,0.1830712936020566,0.9867976861568244,1.0328174716854668,-0.0495804734333734,-0.0196151578422911,stabilized_ipw_complete_case
combined,xgboost,2007-2008,2295,273,combined_fasting_weight_x_stabilized_uacr_ipw,model0_paired_combined,model4_combined,0.0082679404835166,0.0283540025959596,0.0015084369867066,0.0051125628228635,0.1814541239936256,0.2545540917267055,1.0735509054925698,1.098591511215414,-0.0730999677330799,-0.025040605722844,stabilized_ipw_complete_case
