target_population,comparison_sample,model,model_label,algorithm,cycle,n,events,weight_variable,classification_threshold,classification_threshold_type,survey_weighted_AUROC,survey_weighted_PR_AUC,unweighted_AUROC,unweighted_PR_AUC,weighted_Brier,weighted_log_loss,unweighted_Brier,unweighted_log_loss,calibration_intercept,calibration_slope,observed_expected_ratio,weighted_observed_prevalence,weighted_mean_predicted_probability,calibration_in_the_large,sensitivity,specificity,PPV,NPV,F1
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,elastic_net,2015-2016,5404,597,combined_mec_weight,0.0913732204607118,training_weighted_youden,0.8662169735647763,0.3694105870917214,0.8529405922895109,0.3989743977587847,0.0647225123888795,0.2189197300558615,0.0790370961900693,0.2608977034135482,0.0108504480541142,1.0354276245969545,0.966555535314428,0.0873010721421241,0.0903218376518059,-0.0373317173751859,0.8341708542713567,0.7241522779280216,0.2730263157894737,0.9723463687150838,0.4114002478314745
fasting subsample,metabolic comparison sample,model2_metabolic,Model 2 metabolic,elastic_net,2015-2016,2246,266,combined_fasting_weight,0.5,fixed_0.50,0.8585782676445801,0.3724163835691728,0.8311099718994457,0.3724877062114508,0.0668285606972634,0.226967302425287,0.086933828918056,0.2852722333537971,0.0776968648536292,1.0879437601908113,0.9552389941941652,0.0905733473179241,0.0948174727669397,-0.0504714521423834,0.1353383458646616,0.9828282828282828,0.5142857142857142,0.8943014705882353,0.2142857142857142
fasting subsample,metabolic comparison sample,model2_metabolic,Model 2 metabolic,elastic_net,2015-2016,2246,266,combined_fasting_weight,0.0988348984863751,training_weighted_youden,0.8585782676445801,0.3724163835691728,0.8311099718994457,0.3724877062114508,0.0668285606972634,0.226967302425287,0.086933828918056,0.2852722333537971,0.0776968648536292,1.0879437601908113,0.9552389941941652,0.0905733473179241,0.0948174727669397,-0.0504714521423834,0.8270676691729323,0.6989898989898989,0.2696078431372549,0.967832167832168,0.4066543438077634
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,elastic_net,2015-2016,5404,597,combined_mec_weight,0.5,fixed_0.50,0.8619553355600839,0.3648962149975793,0.8453013280813608,0.3918583825388197,0.0651439263037894,0.2206564755430486,0.0800640473792275,0.2645645012636871,0.0080206162297841,1.04967668972419,0.948814719899366,0.0873010721421241,0.092010663737788,-0.057715167132808,0.1490787269681742,0.984189723320158,0.5393939393939394,0.9030349303302156,0.2335958005249343
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,elastic_net,2015-2016,5404,597,combined_mec_weight,0.1002036368808798,training_weighted_youden,0.8619553355600839,0.3648962149975793,0.8453013280813608,0.3918583825388197,0.0651439263037894,0.2206564755430486,0.0800640473792275,0.2645645012636871,0.0080206162297841,1.04967668972419,0.948814719899366,0.0873010721421241,0.092010663737788,-0.057715167132808,0.8107202680067002,0.7303931766174329,0.2719101123595505,0.9688189845474614,0.407236011779554
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,2015-2016,2246,266,combined_fasting_weight,0.5,fixed_0.50,0.8662150928782526,0.4035967368820717,0.8426824637350953,0.4075021393550441,0.0654934492244185,0.2223380795349132,0.0844214831912067,0.2780349493757262,0.1044041276479248,1.087137205519872,0.974306020098532,0.0905733473179241,0.0929619087324991,-0.0286597384001656,0.1616541353383458,0.9772727272727272,0.4886363636363636,0.896663577386469,0.2429378531073446
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,2015-2016,2246,266,combined_fasting_weight,0.085253973854895,training_weighted_youden,0.8662150928782526,0.4035967368820717,0.8426824637350953,0.4075021393550441,0.0654934492244185,0.2223380795349132,0.0844214831912067,0.2780349493757262,0.1044041276479248,1.087137205519872,0.974306020098532,0.0905733473179241,0.0929619087324991,-0.0286597384001656,0.8308270676691729,0.6924242424242424,0.2662650602409638,0.9682203389830508,0.4032846715328467
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2017-2018,5209,646,combined_mec_weight,0.5,fixed_0.50,0.8515487672035789,0.370669452703239,0.8256480141452756,0.3832305033519471,0.0716127473051065,0.2402248919976249,0.0907609760427573,0.2961595638823042,0.0030521736358603,0.9965290708848372,1.0062846662471456,0.0963747859305344,0.0957728853108297,0.0069308737665223,0.1547987616099071,0.9772079772079773,0.4901960784313725,0.8909090909090909,0.2352941176470588
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2017-2018,5209,646,combined_mec_weight,0.0963689903679444,training_weighted_youden,0.8515487672035789,0.370669452703239,0.8256480141452756,0.3832305033519471,0.0716127473051065,0.2402248919976249,0.0907609760427573,0.2961595638823042,0.0030521736358603,0.9965290708848372,1.0062846662471456,0.0963747859305344,0.0957728853108297,0.0069308737665223,0.8312693498452013,0.6780626780626781,0.2676969092721834,0.9659694036840462,0.4049773755656108
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2017-2018,2279,287,combined_fasting_weight,0.5,fixed_0.50,0.8306884029210242,0.3372527450888974,0.8189605110336818,0.3821611332407476,0.0771098265513821,0.2580833270640242,0.0935003687097994,0.3039309230874234,-0.198760253081113,0.8858956257277604,0.986744977379129,0.0998769339312416,0.101218588612959,-0.0148352900615384,0.205574912891986,0.968875502008032,0.4876033057851239,0.8943466172381835,0.2892156862745098
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2017-2018,2279,287,combined_fasting_weight,0.0831941205470357,training_weighted_youden,0.8306884029210242,0.3372527450888974,0.8189605110336818,0.3821611332407476,0.0771098265513821,0.2580833270640242,0.0935003687097994,0.3039309230874234,-0.198760253081113,0.8858956257277604,0.986744977379129,0.0998769339312416,0.101218588612959,-0.0148352900615384,0.8606271777003485,0.6445783132530121,0.2586387434554973,0.9697885196374624,0.3977455716586152
fasting subsample,metabolic comparison sample,model0_paired_metabolic,Model 0 paired metabolic sample,elastic_net,2017-2018,2279,287,combined_fasting_weight,0.5,fixed_0.50,0.8306884029210242,0.3372527450888974,0.8189605110336818,0.3821611332407476,0.0771098265513821,0.2580833270640242,0.0935003687097994,0.3039309230874234,-0.198760253081113,0.8858956257277604,0.986744977379129,0.0998769339312416,0.101218588612959,-0.0148352900615384,0.205574912891986,0.968875502008032,0.4876033057851239,0.8943466172381835,0.2892156862745098
