cycle,algorithm,model,model_label,target_population,comparison_sample,n,events,weight_variable,metric,point_estimate,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower,ci_upper,ci_level,ci_method,replicate_method,n_replicates_requested,n_replicates_valid,valid_replicate_fraction,design_df
2021-2023,elastic_net,model0_paired_metabolic,Model 0 paired metabolic sample,fasting subsample,metabolic comparison sample,3397,434,combined_fasting_weight,weighted_Brier,0.06892074054202914,0.06889728326353912,-2.3457278490013334e-05,0.003472195654586622,0.062273515326849764,0.07544794260035728,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_paired_metabolic,Model 0 paired metabolic sample,fasting subsample,metabolic comparison sample,3397,434,combined_fasting_weight,weighted_log_loss,0.2370130868293906,0.23685017551387086,-0.00016291131551973703,0.010954984906980504,0.2158922737086579,0.25770125917269593,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_paired_metabolic,Model 0 paired metabolic sample,fasting subsample,metabolic comparison sample,3397,434,combined_fasting_weight,calibration_intercept,-0.2096166730688555,-0.20139362147212375,0.008223051596731756,0.12999506214568052,-0.4486851608051384,0.06497190892149883,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_paired_metabolic,Model 0 paired metabolic sample,fasting subsample,metabolic comparison sample,3397,434,combined_fasting_weight,calibration_slope,0.9580870019104686,0.9681520302747398,0.010065028364271256,0.08372101811318339,0.8284016243373449,1.154970104048612,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_paired_metabolic,Model 0 paired metabolic sample,fasting subsample,metabolic comparison sample,3397,434,combined_fasting_weight,observed_expected_ratio,0.8985188679604661,0.8986425783892745,0.0001237104288084323,0.05525303541508758,0.7969480813437946,1.0027902546227287,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_paired_metabolic,Model 0 paired metabolic sample,fasting subsample,metabolic comparison sample,3397,434,combined_fasting_weight,weighted_observed_prevalence,0.09335715157717278,0.0933864867014018,2.9335124229021292e-05,0.005384949699689709,0.08288153997076297,0.10367061276262644,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_paired_metabolic,Model 0 paired metabolic sample,fasting subsample,metabolic comparison sample,3397,434,combined_fasting_weight,weighted_mean_predicted_probability,0.10390115879155962,0.1040139392961637,0.0001127805046040875,0.0038332641288357215,0.09707106782175358,0.11178161154331691,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_paired_metabolic,Model 0 paired metabolic sample,fasting subsample,metabolic comparison sample,3397,434,combined_fasting_weight,calibration_in_the_large,-0.11870545299496538,-0.12055408567509397,-0.0018486326801285952,0.06833425619330033,-0.25199051177540466,0.0030968851127752355,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_paired_combined,Model 0 paired combined sample,fasting subsample,combined comparison sample,3397,434,combined_fasting_weight,survey_weighted_AUROC,0.8445283446324776,0.8452159037561682,0.000687559123690562,0.016087535322047156,0.8150478117609437,0.8767059076662442,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_paired_combined,Model 0 paired combined sample,fasting subsample,combined comparison sample,3397,434,combined_fasting_weight,survey_weighted_PR_AUC,0.39313762164988486,0.3979191456985626,0.0047815240486777655,0.025781489883727193,0.34890523465316026,0.44662324209430565,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_paired_combined,Model 0 paired combined sample,fasting subsample,combined comparison sample,3397,434,combined_fasting_weight,weighted_Brier,0.06892074054202914,0.06889728326353912,-2.3457278490013334e-05,0.003472195654586622,0.062273515326849764,0.07544794260035728,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_paired_combined,Model 0 paired combined sample,fasting subsample,combined comparison sample,3397,434,combined_fasting_weight,weighted_log_loss,0.2370130868293906,0.23685017551387086,-0.00016291131551973703,0.010954984906980504,0.2158922737086579,0.25770125917269593,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_paired_combined,Model 0 paired combined sample,fasting subsample,combined comparison sample,3397,434,combined_fasting_weight,calibration_intercept,-0.2096166730688555,-0.20139362147212375,0.008223051596731756,0.12999506214568052,-0.4486851608051384,0.06497190892149883,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_paired_combined,Model 0 paired combined sample,fasting subsample,combined comparison sample,3397,434,combined_fasting_weight,calibration_slope,0.9580870019104686,0.9681520302747398,0.010065028364271256,0.08372101811318339,0.8284016243373449,1.154970104048612,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_paired_combined,Model 0 paired combined sample,fasting subsample,combined comparison sample,3397,434,combined_fasting_weight,observed_expected_ratio,0.8985188679604661,0.8986425783892745,0.0001237104288084323,0.05525303541508758,0.7969480813437946,1.0027902546227287,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_paired_combined,Model 0 paired combined sample,fasting subsample,combined comparison sample,3397,434,combined_fasting_weight,weighted_observed_prevalence,0.09335715157717278,0.0933864867014018,2.9335124229021292e-05,0.005384949699689709,0.08288153997076297,0.10367061276262644,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_paired_combined,Model 0 paired combined sample,fasting subsample,combined comparison sample,3397,434,combined_fasting_weight,weighted_mean_predicted_probability,0.10390115879155962,0.1040139392961637,0.0001127805046040875,0.0038332641288357215,0.09707106782175358,0.11178161154331691,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_paired_combined,Model 0 paired combined sample,fasting subsample,combined comparison sample,3397,434,combined_fasting_weight,calibration_in_the_large,-0.11870545299496538,-0.12055408567509397,-0.0018486326801285952,0.06833425619330033,-0.25199051177540466,0.0030968851127752355,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,xgboost,model0_core,Model 0 core clinical,MEC examination sample,core MEC target sample,7766,982,combined_mec_weight,survey_weighted_AUROC,0.8621736564768957,0.8620925721720778,-8.108430481790219e-05,0.011471642174250011,0.8400800598162809,0.8842194637848956,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,xgboost,model0_core,Model 0 core clinical,MEC examination sample,core MEC target sample,7766,982,combined_mec_weight,survey_weighted_PR_AUC,0.4195517124126565,0.4207832606507182,0.0012315482380617082,0.025671891095504343,0.36991250148280475,0.470783923336511,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,xgboost,model0_core,Model 0 core clinical,MEC examination sample,core MEC target sample,7766,982,combined_mec_weight,weighted_Brier,0.06915381468828727,0.06923630541835664,8.249073006937058e-05,0.003130519922365488,0.06365336636951058,0.07546099627112463,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,xgboost,model0_core,Model 0 core clinical,MEC examination sample,core MEC target sample,7766,982,combined_mec_weight,weighted_log_loss,0.23325840558485472,0.2334370795714504,0.00017867398659568434,0.009287162596058168,0.21664475064298425,0.25198237333906015,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,xgboost,model0_core,Model 0 core clinical,MEC examination sample,core MEC target sample,7766,982,combined_mec_weight,calibration_intercept,-0.12383156614525577,-0.12100014822729883,0.0028314179179569354,0.10342340459769019,-0.31665972491380767,0.0816997105465106,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,xgboost,model0_core,Model 0 core clinical,MEC examination sample,core MEC target sample,7766,982,combined_mec_weight,calibration_slope,0.9838804149290225,0.9879373083708388,0.004056893441816367,0.06162451963329422,0.8795374936553142,1.1115196648579184,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,xgboost,model0_core,Model 0 core clinical,MEC examination sample,core MEC target sample,7766,982,combined_mec_weight,observed_expected_ratio,0.931774235882858,0.9319340615647019,0.000159825681843917,0.035420574986382514,0.8648520221453728,0.9997897799024685,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
