comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,delta_AUROC,delta_PR_AUC,delta_Brier_improvement,delta_log_loss_improvement,core_calibration_intercept,extended_calibration_intercept,core_calibration_slope,extended_calibration_slope,absolute_intercept_deviation_change,absolute_slope_deviation_change,imbalance_setting
metabolic,xgboost,2015-2016,2246,266,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,-0.003227184840832731,-0.004194807768579112,0.0006175738622576366,0.0006835010696540911,-2.152398194370269,-2.126469935864037,1.125756714679317,1.1195625951030053,0.025928258506231927,0.006194119576311774,class_weighted_refit
metabolic,xgboost,2017-2018,2279,287,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.00030593906725284725,0.007159700753003706,-0.0007791101923858013,-0.0026849954155800937,-1.9620286993474498,-1.9655873968184345,0.8606279896635021,0.7898047454366708,-0.0035586974709846952,-0.07082324422683128,class_weighted_refit
renal,elastic_net,2005-2006,4448,533,combined_mec_weight,model0_core,model1_renal,0.004347000261685552,0.023037218089893674,0.0005709144852875936,-0.0010689841566870473,-1.9597771091241545,-1.9997420357584677,0.9667215704896597,0.9664513094834034,-0.03996492663431317,-0.00027026100625626714,class_weighted_refit
renal,elastic_net,2007-2008,5649,677,combined_mec_weight,model0_core,model1_renal,0.00406859421213257,0.02539023920710337,0.00324513986901781,0.006483624641189956,-2.0596066410346388,-2.0592896389115465,0.9930416837797377,0.9810309843953484,0.00031700212309226927,-0.012010699384389256,class_weighted_refit
renal,elastic_net,2009-2010,5990,646,combined_mec_weight,model0_core,model1_renal,0.004058284267859702,0.0023913765979650115,0.004932645699845889,0.009693327620898251,-2.121793262388353,-2.0995297101032486,0.9141963555993503,0.8949827959453613,0.02226355228510446,-0.019213559653988965,class_weighted_refit
renal,elastic_net,2011-2012,5260,550,combined_mec_weight,model0_core,model1_renal,0.004890894620565356,0.024249081270056705,0.0046686229933501355,0.00916988526678053,-2.0074717574637315,-2.0011953400877056,0.9242202136649675,0.9187234773096734,0.006276417376025911,-0.0054967363552941295,class_weighted_refit
renal,elastic_net,2013-2014,5522,573,combined_mec_weight,model0_core,model1_renal,0.0070043316365094865,0.019417431962613085,0.0012829069778945157,0.0008786531934096842,-2.0684549023422565,-2.10365064379306,0.9574373050347402,0.9674378809982481,-0.03519574145080373,0.010000575963507896,class_weighted_refit
renal,elastic_net,2015-2016,5404,597,combined_mec_weight,model0_core,model1_renal,0.004975449119535402,0.014517234911833932,0.005014769556196563,0.009242301387432983,-2.1496615857464563,-2.130942117454148,1.0285281661831602,1.0025420503230174,0.018719468292308417,0.025986115860142878,class_weighted_refit
renal,elastic_net,2017-2018,5209,646,combined_mec_weight,model0_core,model1_renal,0.0019858181234351235,0.009713049409895758,0.003802690340303533,0.007324839901954094,-2.0644431551293536,-2.040571079638453,0.9741983337244106,0.9496418634369439,0.023872075490900535,-0.02455647028746666,class_weighted_refit
renal,xgboost,2005-2006,4448,533,combined_mec_weight,model0_core,model1_renal,0.002707898239524109,0.010861164415016944,0.0022794809272707467,0.00915351763888178,-1.852256289121755,-1.855126809506471,1.092683069417514,0.9867581573735135,-0.0028705203847159133,0.0794412267910275,class_weighted_refit
renal,xgboost,2007-2008,5649,677,combined_mec_weight,model0_core,model1_renal,0.002001461917976788,0.01222013424359758,0.003369925121136347,0.006907399564112182,-2.0088170220882287,-1.9898763481854722,1.1138423579929189,1.1136185280208708,0.018940673902756444,0.00022382997204806188,class_weighted_refit
renal,xgboost,2009-2010,5990,646,combined_mec_weight,model0_core,model1_renal,0.0028432765184712716,-0.003485799151229596,0.004708727438946167,0.010188179117021856,-2.0570860380824865,-2.021127368414578,1.020932507835959,1.004650859410109,0.035958669667908616,0.016281648425850115,class_weighted_refit
renal,xgboost,2011-2012,5260,550,combined_mec_weight,model0_core,model1_renal,0.0041372595348582175,0.021942956430267335,0.0018509553807424112,0.0005890972601877986,-1.9193542273576987,-1.9433445715751987,0.9304186859683152,0.9496955302852229,-0.023990344217500015,0.019276844316907682,class_weighted_refit
renal,xgboost,2013-2014,5522,573,combined_mec_weight,model0_core,model1_renal,0.006984568454026174,0.0111762898276202,0.0018203114797325781,0.0021820405792291053,-2.0344545904231235,-2.061057459590872,0.9256551193813427,0.9596927923457031,-0.026602869167748455,0.034037672964360444,class_weighted_refit
renal,xgboost,2015-2016,5404,597,combined_mec_weight,model0_core,model1_renal,0.0014016102554549326,0.008483523642288715,0.0035953479652956755,0.00645346312157391,-2.141075940132925,-2.1169595379917103,1.0608965628106164,1.0454909841096787,0.0241164021412148,0.015405578700937728,class_weighted_refit
renal,xgboost,2017-2018,5209,646,combined_mec_weight,model0_core,model1_renal,0.0024505077486686178,0.014722632663154378,0.004227480119767507,0.008764815642277768,-2.0351051985241915,-2.0062117325660607,1.0114157194129934,1.015432961182815,0.028893465958130804,-0.004017241769821656,class_weighted_refit
