comparison,algorithm,metric,k_cycles,pooled_effect_REML,modified_HK_se,ci_lower,ci_upper,p_value,tau2_REML,tau_REML,Cochran_Q,Q_df,Q_p_value,I2_percent,HK_q,modified_HK_q,prediction_interval_lower,prediction_interval_upper,between_cycle_variance_method,confidence_interval_method,ci_level
inflammatory,xgboost,delta_AUROC,7,0.0008001027079688463,0.0005526942718281486,-0.0005522914558273948,0.0021524968717650875,0.19787425020464508,4.304367233213497e-07,0.0006560767663325304,5.919836551138441,6,0.4322297767252423,0.0,0.7054320116137803,1.0,-0.0014050725062987354,0.003005277922236428,REML,modified_Hartung_Knapp,0.95
inflammatory,xgboost,delta_Brier_improvement,7,0.00015647023561279322,7.086635129634494e-05,-1.693347922163653e-05,0.00032987395044722294,0.06933757713783129,0.0,0.0,4.174146026666328,6,0.6531228808994922,0.0,0.695691004444388,1.0,-2.5697519787413125e-05,0.00033863799101299956,REML,modified_Hartung_Knapp,0.95
inflammatory,xgboost,delta_PR_AUC,7,0.002560638682563898,0.0021475089126407085,-0.0026941263262161177,0.007815403691343913,0.27812764419595026,8.642879957906312e-06,0.0029398775413112554,8.398712688666468,6,0.2103231319091828,28.56048036865672,1.0155965800002615,1.0155965800002615,-0.006798070838901219,0.011919348204029016,REML,modified_Hartung_Knapp,0.95
inflammatory,xgboost,delta_log_loss_improvement,7,0.00045288583245342817,0.00024388364732426184,-0.00014387595448477048,0.0010496476193916269,0.11269531821079201,0.0,0.0,2.6825316437544466,6,0.8475062372464167,0.0,0.4470886072924078,1.0,-0.00017403704136705257,0.001079808706273909,REML,modified_Hartung_Knapp,0.95
metabolic,elastic_net,delta_AUROC,7,0.0013221662724311272,0.0005508449893132149,-2.5702860063207345e-05,0.0026700354049254615,0.05327664936364611,0.0,0.0,2.941051283530298,6,0.8162083450130595,0.0,0.49017521392171637,1.0,-9.382585134870298e-05,0.0027381583962109574,REML,modified_Hartung_Knapp,0.95
metabolic,elastic_net,delta_Brier_improvement,7,0.0001874549689639506,8.687774907747545e-05,-2.5127224854523813e-05,0.000400037162782425,0.07431369805364323,0.0,0.0,3.409018383172355,6,0.7560324102787669,0.0,0.5681697305287258,1.0,-3.587139473557743e-05,0.0004107813326634786,REML,modified_Hartung_Knapp,0.95
metabolic,elastic_net,delta_PR_AUC,7,0.0009394662271274011,0.0017521716189451953,-0.003347943272509481,0.005226875726764283,0.6111244258610147,0.0,0.0,2.417062783474808,6,0.877631742448752,0.0,0.4028437972458014,1.0,-0.0035646343094505933,0.005443566763705395,REML,modified_Hartung_Knapp,0.95
metabolic,elastic_net,delta_log_loss_improvement,7,0.0007394592779444769,0.0002618195941707247,9.880981010616189e-05,0.001380108745782792,0.03018268827175817,0.0,0.0,3.076513863445943,6,0.7991841029808469,0.0,0.5127523105743238,1.0,6.64305849555403e-05,0.0014124879709334136,REML,modified_Hartung_Knapp,0.95
metabolic,xgboost,delta_AUROC,7,0.000821442618239568,0.0012026677003792736,-0.002121379230807755,0.003764264467286891,0.520083193728222,4.076482633302752e-06,0.002019030121940421,10.344382399604706,6,0.1108785692210333,41.99750387969725,0.8484995724852388,1.0,-0.005219639215413491,0.0068625244518926275,REML,modified_Hartung_Knapp,0.95
metabolic,xgboost,delta_Brier_improvement,7,-0.0001642992484912537,0.0002156500942187962,-0.0006919760197357573,0.00036337752275324994,0.47500454283008414,1.1363119808790824e-07,0.0003370922693980214,11.747858722658616,6,0.0678360197328309,48.92686282967011,1.2644367206043456,1.2644367206043456,-0.0011929694066657652,0.0008643709096832577,REML,modified_Hartung_Knapp,0.95
