comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,delta_AUROC,delta_PR_AUC,delta_Brier_improvement,delta_log_loss_improvement,core_calibration_intercept,extended_calibration_intercept,core_calibration_slope,extended_calibration_slope,absolute_intercept_deviation_change,absolute_slope_deviation_change
inflammatory,xgboost,2005-2006,4448,533,combined_mec_weight,model0_core,model3_inflammatory,0.0019079851234238276,0.001107501501152408,0.0001947941788733587,0.0007768719776996558,0.34685117332314097,0.3730682317085824,1.0914968823179605,1.102883404404336,-0.026217058385441416,-0.011386522086375583
inflammatory,xgboost,2007-2008,5649,677,combined_mec_weight,model0_core,model3_inflammatory,-0.00024121603240712108,0.008894791286892356,0.00017672485144043515,0.00018701307144167179,0.22120835108979198,0.24338811980647898,1.104812553275733,1.1098885767014228,-0.022179768716687004,-0.005076023425689913
inflammatory,xgboost,2009-2010,5990,646,combined_mec_weight,model0_core,model3_inflammatory,-0.0008087358237645059,0.0024956897076007234,1.5076762267751675e-05,-0.0001524886883727261,-0.043858445971232465,-0.12989322952337018,1.0171474202076225,0.9647157571889142,-0.08603478355213771,-0.018136822603463276
inflammatory,xgboost,2011-2012,5260,550,combined_mec_weight,model0_core,model3_inflammatory,-0.0004935335489750781,0.010722358491724815,0.00040510136957754017,0.0004026800255077234,-0.031997885009664315,-0.04386788280750348,0.9461705156422072,0.9313839795052198,-0.011869997797839163,-0.014786536136987438
inflammatory,xgboost,2013-2014,5522,573,combined_mec_weight,model0_core,model3_inflammatory,0.001305052249173655,-0.004317636172039063,0.0001551879069881107,0.00040109609256872014,-0.15639975697187047,-0.06402166937319934,0.9440151005637389,1.0172064187108676,0.09237808759867114,0.03877848072539347
inflammatory,xgboost,2015-2016,5404,597,combined_mec_weight,model0_core,model3_inflammatory,0.001982238663454483,0.0004087551223818098,0.00010406007208009493,0.0007498780492083967,0.014148179048497717,-0.007952564680948432,1.061405147115536,1.0495492445510881,0.006195614367549285,0.011855902564447796
inflammatory,xgboost,2017-2018,5209,646,combined_mec_weight,model0_core,model3_inflammatory,0.0007159653084228834,-0.006207660564417072,-0.000695717253640496,-0.0008265755478453762,0.0007755849763560786,-0.08918289683108373,1.0079333879078458,0.956838345053648,-0.08840731185472765,-0.035228267038506234
combined,elastic_net,2005-2006,1836,216,combined_fasting_weight,model0_paired_combined,model4_combined,0.014875444496366241,0.050196661096781114,0.002741281297062012,0.009484607538806394,-0.037452011008404576,0.018645821294704656,0.9169226161188438,0.9781258590066746,0.01880618971369992,0.061203242887830744
combined,elastic_net,2007-2008,2337,288,combined_fasting_weight,model0_paired_combined,model4_combined,0.009568355490448877,0.019362106180362493,0.0010884657359840344,0.004433612914517188,0.08536096448356978,0.05039615478531413,1.034723669788501,1.022172586746196,0.03496480969825565,0.012551083042305011
combined,elastic_net,2009-2010,2594,273,combined_fasting_weight,model0_paired_combined,model4_combined,0.00522934675669362,0.00341210369969841,0.0005613712161819037,0.0023157263317056254,-0.1676307334190429,-0.16104162617805945,0.9693975315895426,0.9569613279676339,0.006589107240983438,-0.01243620362190867
combined,elastic_net,2011-2012,2294,239,combined_fasting_weight,model0_paired_combined,model4_combined,0.0066550482356013685,0.022015452755014875,0.001501073556298041,0.004144725368609353,-0.043680254866580503,-0.02002389462951651,0.9109750364633609,0.9122004420246543,0.023656360237063995,0.001225405561293469
