target_population,comparison_sample,model,model_label,algorithm,weight_variable,metric,point_estimate,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower,ci_upper,ci_level,ci_method,replicate_method,n_replicates_requested,n_replicates_valid,valid_replicate_fraction,design_df
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,xgboost,combined_mec_weight,survey_weighted_AUROC,0.8555303310604702,0.8554079422565508,-0.0001223888039193488,0.0037356281748313655,0.8481667446436828,0.8626270277939514,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,xgboost,combined_mec_weight,survey_weighted_PR_AUC,0.3917857038192977,0.3944209963989057,0.002635292579607984,0.008612282100351107,0.37796660109589014,0.41168209526314625,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,xgboost,combined_mec_weight,weighted_Brier,0.06460366886332677,0.0645785512927188,-2.511757060796871e-05,0.001490376532136735,0.06161482270969437,0.06757354525820412,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,xgboost,combined_mec_weight,weighted_log_loss,0.22260884846425832,0.22254203021031702,-6.681825394130869e-05,0.0043990241548254715,0.2138367168167967,0.23114840031039238,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,xgboost,combined_mec_weight,calibration_intercept,0.02074177460817948,0.022327084218875633,0.0015853096106961534,0.037515797859273746,-0.05195415443815192,0.09386008185899977,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,xgboost,combined_mec_weight,calibration_slope,1.0094208458977236,1.0116378121687506,0.0022169662710269655,0.017859032593651174,0.9776561355154919,1.0465141968610387,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,xgboost,combined_mec_weight,observed_expected_ratio,1.0049380929486118,1.0049653040644517,2.7211115839920197e-05,0.01855544293805428,0.9687946079190293,1.04243985793211,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,xgboost,combined_mec_weight,weighted_observed_prevalence,0.08800566465490338,0.08797433194354841,-3.1332711354969955e-05,0.002249232302824055,0.08353695680858696,0.09220626989055677,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,xgboost,combined_mec_weight,weighted_mean_predicted_probability,0.08778773560732121,0.08774424503629605,-4.349057102516485e-05,0.0014238576244247037,0.08494018768788587,0.0905541033654629,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,xgboost,combined_mec_weight,calibration_in_the_large,0.0035734285185727694,0.0024626019761659936,-0.0011108265424067758,0.020189368166758218,-0.036684188331473876,0.04261406310331522,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,combined_fasting_weight,survey_weighted_AUROC,0.8443926674263104,0.8442247656330938,-0.00016790179321657384,0.005695575544008959,0.8329400786481845,0.8560443829162543,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,combined_fasting_weight,survey_weighted_PR_AUC,0.37028855318213466,0.37402969658180785,0.0037411433996731858,0.012178277816998408,0.34954844178344585,0.3967894333925193,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,combined_fasting_weight,weighted_Brier,0.06864828784843584,0.06859452112624623,-5.376672218961043e-05,0.002226017663102101,0.06412891959328608,0.07284841063998196,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,combined_fasting_weight,weighted_log_loss,0.23528814773217316,0.23512962724430916,-0.00015852048786399453,0.006666978242088501,0.2219070148896622,0.2477568660205653,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,combined_fasting_weight,calibration_intercept,-0.017193393133744652,-0.01676255095548263,0.00043084217826202045,0.05564016690880135,-0.12944007725214213,0.09165866407271936,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,combined_fasting_weight,calibration_slope,0.9919144717413245,0.9957432053852869,0.003828733643962412,0.026392425211618283,0.9457661987585421,1.04976432991555,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,combined_fasting_weight,observed_expected_ratio,1.0007789878671982,0.9997934051426685,-0.0009855827245297544,0.027807540299323013,0.9454511002229476,1.0515737406273975,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,combined_fasting_weight,weighted_observed_prevalence,0.09178738509515354,0.09170394757066022,-8.343752449331554e-05,0.0033946338584956597,0.08497160387016178,0.0983700684646516,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,combined_fasting_weight,weighted_mean_predicted_probability,0.09181097669038417,0.09175186471747096,-5.911197291320891e-05,0.001849252000540028,0.08815448684405121,0.095299474159351,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,combined_fasting_weight,calibration_in_the_large,-0.001022747029337864,-0.004653795091869627,-0.003631048062531763,0.03056305806253459,-0.06618200477063681,0.05114143413644324,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,xgboost,combined_fasting_weight,survey_weighted_AUROC,0.8457207918876039,0.845644143579571,-7.664830803288947e-05,0.005813430870139013,0.8341522794396966,0.857466161613742,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,xgboost,combined_fasting_weight,survey_weighted_PR_AUC,0.38418486522034756,0.3884367451673763,0.004251879947028747,0.013238218136797927,0.36220734584104924,0.4133063333390595,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,xgboost,combined_fasting_weight,weighted_Brier,0.0681796463587806,0.06809917058558233,-8.047577319826582e-05,0.0022547264391297854,0.06362283161763219,0.07241763693054235,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,xgboost,combined_fasting_weight,weighted_log_loss,0.23446041677059526,0.23423041528467742,-0.0002300014859178412,0.0067914662615014025,0.2207084659615732,0.2471567103701382,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,xgboost,combined_fasting_weight,calibration_intercept,0.026148723285490862,0.02830711014988309,0.002158386864392226,0.05434264219731612,-0.07967026860131406,0.12948900538054042,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,xgboost,combined_fasting_weight,calibration_slope,1.0161288583406676,1.0212545313492467,0.005125673008579135,0.02759720408118137,0.9691072847084167,1.0753918206453983,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,xgboost,combined_fasting_weight,observed_expected_ratio,1.0052485990048488,1.0041613817230288,-0.00108721728181993,0.02842629541624074,0.9478652765720953,1.0580879171514053,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,xgboost,combined_fasting_weight,weighted_observed_prevalence,0.09178738509515354,0.09170394757066022,-8.343752449331554e-05,0.0033946338584956597,0.08497160387016178,0.0983700684646516,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,xgboost,combined_fasting_weight,weighted_mean_predicted_probability,0.09171552304108067,0.09166321404482497,-5.2308996255703843e-05,0.0018339500091013052,0.08806883041377042,0.09521098726349128,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,xgboost,combined_fasting_weight,calibration_in_the_large,0.001798299332963779,-0.0019392176752108773,-0.0037375170081746564,0.031028008808528965,-0.06381663276630763,0.05568762321573582,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,combined_fasting_weight,survey_weighted_AUROC,0.8519261922736969,0.8518410903662671,-8.510190742982982e-05,0.005305419581083306,0.8417240464177635,0.8627346596704571,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,combined_fasting_weight,survey_weighted_PR_AUC,0.39527657245033126,0.3998720728070609,0.00459550035672962,0.01232982802865498,0.3740182085760879,0.42316654385292024,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,combined_fasting_weight,weighted_Brier,0.06725115805094692,0.0672016680365747,-4.949001437222489e-05,0.0022321169589116703,0.06277356715637462,0.07155074373976002,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,combined_fasting_weight,weighted_log_loss,0.23093297442069258,0.23078432124602716,-0.0001486531746654196,0.006641977244393492,0.2177096167648375,0.24332936503771177,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,combined_fasting_weight,calibration_intercept,-0.019038077721075054,-0.018768527827583998,0.0002695498934910563,0.05182221506274657,-0.1221841693500557,0.08309670618938485,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,combined_fasting_weight,calibration_slope,0.9907635248785862,0.994354230539742,0.003590705661155824,0.023806428660611553,0.948111678581802,1.0434172405275113,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,combined_fasting_weight,observed_expected_ratio,1.0006346286653836,0.99955949341261,-0.0010751352527735847,0.027257592063404803,0.9465491017809111,1.0518699955377069,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,combined_fasting_weight,weighted_observed_prevalence,0.09178738509515354,0.09170394757066022,-8.343752449331554e-05,0.0033946338584956597,0.08497160387016178,0.0983700684646516,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
