target_population,comparison_sample,model,model_label,algorithm,cycle,n,events,weight_variable,classification_threshold,classification_threshold_type,survey_weighted_AUROC,survey_weighted_PR_AUC,unweighted_AUROC,unweighted_PR_AUC,weighted_Brier,weighted_log_loss,unweighted_Brier,unweighted_log_loss,calibration_intercept,calibration_slope,observed_expected_ratio,weighted_observed_prevalence,weighted_mean_predicted_probability,calibration_in_the_large,sensitivity,specificity,PPV,NPV,F1,imbalance_setting
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,0.5,fixed_0.50,0.830868174058101,0.3508258037457609,0.827251943301326,0.3872715495160996,0.1372631168632773,0.429420178006508,0.1754862594528472,0.5227926636944978,-1.927798175088852,0.880336730391309,0.3118819110907039,0.0951024285360095,0.3049308893979141,-1.4289411291675176,0.7824074074074074,0.7345679012345679,0.2821368948247078,0.962004850444624,0.4147239263803681,training_count_balanced_class_weights
fasting subsample,metabolic comparison sample,model0_paired_metabolic,Model 0 paired metabolic sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,0.5,fixed_0.50,0.830868174058101,0.3508258037457609,0.827251943301326,0.3872715495160996,0.1372631168632773,0.429420178006508,0.1754862594528472,0.5227926636944978,-1.927798175088852,0.880336730391309,0.3118819110907039,0.0951024285360095,0.3049308893979141,-1.4289411291675176,0.7824074074074074,0.7345679012345679,0.2821368948247078,0.962004850444624,0.4147239263803681,training_count_balanced_class_weights
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,elastic_net,2005-2006,4448,533,combined_mec_weight,0.5,fixed_0.50,0.8539054262594333,0.3995387383327878,0.8487479003879339,0.4271772562362191,0.1273457727860604,0.4040764286775946,0.1616720508910422,0.4900708429025681,-1.9997420357584668,0.9664513094834036,0.3034595053583014,0.0895836535532119,0.2952079337486514,-1.448506303518402,0.797373358348968,0.756066411238825,0.3079710144927536,0.9647979139504564,0.4443282801881861,training_count_balanced_class_weights
fasting subsample,metabolic comparison sample,model2_metabolic,Model 2 metabolic,elastic_net,2005-2006,1836,216,combined_fasting_weight,0.5,fixed_0.50,0.8345341511227465,0.3536535322347605,0.8288923182441702,0.3860530199910392,0.1372107691225305,0.4285344929260356,0.1752177300763165,0.5215821734353678,-1.9341574048012735,0.8937731109644603,0.3114534740470053,0.0951024285360095,0.3053503539397233,-1.4309194574342692,0.7870370370370371,0.7351851851851852,0.2838063439065108,0.9628132578819724,0.4171779141104295,training_count_balanced_class_weights
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,elastic_net,2005-2006,4448,533,combined_mec_weight,0.5,fixed_0.50,0.8517253126894517,0.3805339417041031,0.8437073937494458,0.4125814388664924,0.1267192759752831,0.4006708447361924,0.1612638217395545,0.4856110700597304,-1.957622338638663,0.9726007575234694,0.3067618304907096,0.0895836535532119,0.2920299875962731,-1.4331839099399963,0.8048780487804879,0.7565772669220945,0.3104196816208394,0.9660795825179388,0.4480417754569191,training_count_balanced_class_weights
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,2005-2006,1836,216,combined_fasting_weight,0.5,fixed_0.50,0.8458822075374685,0.3974577845614012,0.8410065157750344,0.4213171842493855,0.1361241350551513,0.4281376124965226,0.1741073961764137,0.5236569775472639,-1.991722858379008,0.9256628933602672,0.3071708531583878,0.0951024285360095,0.3096075931624002,-1.4509127763420402,0.7962962962962963,0.7364197530864197,0.2871452420701169,0.9644300727566694,0.4220858895705521,training_count_balanced_class_weights
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2007-2008,5649,677,combined_mec_weight,0.5,fixed_0.50,0.8523214981046205,0.3772199156130151,0.8263534285350994,0.3776153961203652,0.1322851753052094,0.4127771085686474,0.177460706670002,0.5249908036851306,-2.05960664103464,0.993041683779738,0.2867620737143329,0.086286136260994,0.3008980062926685,-1.5168232362313507,0.7813884785819794,0.7262670957361222,0.2798941798941799,0.9606278265496142,0.4121542656797819,training_count_balanced_class_weights
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2007-2008,2337,288,combined_fasting_weight,0.5,fixed_0.50,0.8554884082264373,0.3841415840180068,0.8204628951792202,0.3807170595603073,0.1328676670941544,0.418009063435917,0.180582326535989,0.5362887167970269,-2.050403947563965,0.9949648417700008,0.2926458692121593,0.0895634391907447,0.3060471669457052,-1.5003122657860013,0.7708333333333334,0.7252318204001952,0.2828025477707006,0.9574742268041238,0.4137931034482758,training_count_balanced_class_weights
fasting subsample,metabolic comparison sample,model0_paired_metabolic,Model 0 paired metabolic sample,elastic_net,2007-2008,2337,288,combined_fasting_weight,0.5,fixed_0.50,0.8554884082264373,0.3841415840180068,0.8204628951792202,0.3807170595603073,0.1328676670941544,0.418009063435917,0.180582326535989,0.5362887167970269,-2.050403947563965,0.9949648417700008,0.2926458692121593,0.0895634391907447,0.3060471669457052,-1.5003122657860013,0.7708333333333334,0.7252318204001952,0.2828025477707006,0.9574742268041238,0.4137931034482758,training_count_balanced_class_weights
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,elastic_net,2007-2008,5649,677,combined_mec_weight,0.5,fixed_0.50,0.8563900923167531,0.4026101548201185,0.8324635685095026,0.4093700596652939,0.1290400354361916,0.4062934839274575,0.173421563667128,0.5171558498923126,-2.0592896389115465,0.9810309843953484,0.290376999810888,0.086286136260994,0.2971521033593881,-1.4989521588371946,0.7784342688330872,0.7331053901850362,0.2842502696871629,0.9604743083003952,0.4164361912287633,training_count_balanced_class_weights
fasting subsample,metabolic comparison sample,model2_metabolic,Model 2 metabolic,elastic_net,2007-2008,2337,288,combined_fasting_weight,0.5,fixed_0.50,0.856315131623574,0.3801825402497837,0.8218456835312618,0.3767171656802321,0.1329334367999336,0.4182326918065189,0.180935735358349,0.5374892052988249,-2.053962814311166,0.9912535754439066,0.2928377555849297,0.0895634391907447,0.3058466249061565,-1.499367842499195,0.78125,0.726207906295754,0.2862595419847328,0.9593810444874274,0.4189944134078212,training_count_balanced_class_weights
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,elastic_net,2007-2008,5649,677,combined_mec_weight,0.5,fixed_0.50,0.8531748901586899,0.3857857295935208,0.8284636207964007,0.3870643348455235,0.1309470945800917,0.4095794479206608,0.1753833198065146,0.5199980063873731,-2.051627850249432,0.9991109587556208,0.2882180599205391,0.086286136260994,0.2993779650198979,-1.509586834060695,0.7784342688330872,0.7300884955752213,0.2819689673622257,0.9603174603174603,0.4139827179890023,training_count_balanced_class_weights
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,2007-2008,2337,288,combined_fasting_weight,0.5,fixed_0.50,0.8647152797711524,0.4028549548598989,0.8316811046038717,0.4095422261088438,0.1289555256487543,0.4116162037859887,0.1753581509734777,0.5282522451333652,-2.063985515966925,0.9627977737226742,0.2968831841872707,0.0895634391907447,0.3016790574916802,-1.4796619583054889,0.78125,0.7384089799902391,0.2956636005256242,0.96002538071066,0.4289799809342231,training_count_balanced_class_weights
