model,term,source_predictor,coefficient,coefficient_scale,odds_ratio_per_model_unit
model4_combined,race_ethnicity_Non-Hispanic Asian,race_ethnicity,-0.6544159246835892,one-hot indicator versus omitted reference category,0.5197455444936284
model4_combined,race_ethnicity_Non-Hispanic Black,race_ethnicity,-0.02341105153529025,one-hot indicator versus omitted reference category,0.9768608610784081
model4_combined,race_ethnicity_Non-Hispanic White,race_ethnicity,-0.0889916475921594,one-hot indicator versus omitted reference category,0.9148532147697048
model4_combined,race_ethnicity_Other Hispanic,race_ethnicity,-0.13686809855813617,one-hot indicator versus omitted reference category,0.872085247847797
model4_combined,race_ethnicity_Other/Multi,race_ethnicity,0.3330204028413422,one-hot indicator versus omitted reference category,1.3951757637291684
model4_combined,education_9-11th grade,education,0.09311182660219003,one-hot indicator versus omitted reference category,1.0975844675472095
model4_combined,education_<9th grade,education,-0.03561623945826704,one-hot indicator versus omitted reference category,0.9650105554061416
model4_combined,education_College graduate+,education,-0.47811869583423205,one-hot indicator versus omitted reference category,0.6199486072975616
model4_combined,education_High school/GED,education,-0.20923605880993398,one-hot indicator versus omitted reference category,0.811203721254918
model4_combined,education_Missing,education,-0.13850903269944434,one-hot indicator versus omitted reference category,0.8706553868651689
model4_combined,education_Some college/AA,education,-0.21675718940056998,one-hot indicator versus omitted reference category,0.8051254385633911
model4_combined,smoking_Current,smoking,0.2333544537843174,one-hot indicator versus omitted reference category,1.2628290145304486
model4_combined,smoking_Former,smoking,-0.36035394188666153,one-hot indicator versus omitted reference category,0.6974294328913988
model4_combined,smoking_Missing,smoking,-0.19264131547329869,one-hot indicator versus omitted reference category,0.8247777561088128
model4_combined,smoking_Never,smoking,-0.6654845860246168,one-hot indicator versus omitted reference category,0.5140243783143073
model4_combined,diabetes_0.0,diabetes,-0.7120258371741367,one-hot indicator versus omitted reference category,0.49064921454627364
model4_combined,diabetes_1.0,diabetes,-0.2730995524261207,one-hot indicator versus omitted reference category,0.7610170227667733
model0_paired_metabolic,intercept,intercept,-1.336976356349782,model log-odds intercept after preprocessing,0.2626385947324231
model0_paired_metabolic,age,age,1.3434894808576012,one training-sample standard deviation after median imputation,3.83239326288824
model0_paired_metabolic,bmi,bmi,0.1809932437976344,one training-sample standard deviation after median imputation,1.1984070825850819
model0_paired_metabolic,mean_sbp,mean_sbp,0.007369011593961396,one training-sample standard deviation after median imputation,1.0073962295753618
model0_paired_metabolic,total_cholesterol,total_cholesterol,-0.36128144746976926,one training-sample standard deviation after median imputation,0.6967828630934689
model0_paired_metabolic,hdl_cholesterol,hdl_cholesterol,-0.09953630637720819,one training-sample standard deviation after median imputation,0.9052570826667533
model0_paired_metabolic,sex_Female,sex,-0.750418841730982,one-hot indicator versus omitted reference category,0.47216874734387587
model0_paired_metabolic,sex_Male,sex,-0.5765207111687296,one-hot indicator versus omitted reference category,0.5618498075436509
model0_paired_metabolic,race_ethnicity_Mexican American,race_ethnicity,-0.557759148172476,one-hot indicator versus omitted reference category,0.5724904939346975
model0_paired_metabolic,race_ethnicity_Non-Hispanic Asian,race_ethnicity,-0.731860876359077,one-hot indicator versus omitted reference category,0.48101305091787205
model0_paired_metabolic,race_ethnicity_Non-Hispanic Black,race_ethnicity,0.00026768366288605714,one-hot indicator versus omitted reference category,1.0002677194933547
model0_paired_metabolic,race_ethnicity_Non-Hispanic White,race_ethnicity,-0.1067084789394807,one-hot indicator versus omitted reference category,0.8987876503315003
model0_paired_metabolic,race_ethnicity_Other Hispanic,race_ethnicity,-0.23060934218080123,one-hot indicator versus omitted reference category,0.7940496071396355
model0_paired_metabolic,race_ethnicity_Other/Multi,race_ethnicity,0.2997306090892556,one-hot indicator versus omitted reference category,1.34949521685867
model0_paired_metabolic,education_9-11th grade,education,0.2952665638961887,one-hot indicator versus omitted reference category,1.3434844354045643
model0_paired_metabolic,education_<9th grade,education,0.17275131366940133,one-hot indicator versus omitted reference category,1.1885704870943858
model0_paired_metabolic,education_College graduate+,education,-0.3051921216464295,one-hot indicator versus omitted reference category,0.7369817706383266
model0_paired_metabolic,education_High school/GED,education,0.0009225478621203154,one-hot indicator versus omitted reference category,1.000922973540292
model0_paired_metabolic,education_Missing,education,-1.479486469244032,one-hot indicator versus omitted reference category,0.2277546173587581
model0_paired_metabolic,education_Some college/AA,education,-0.011201387436964153,one-hot indicator versus omitted reference category,0.988861114516086
