target_population,comparison_sample,model,model_label,algorithm,cycle,n,events,weight_variable,classification_threshold,classification_threshold_type,survey_weighted_AUROC,survey_weighted_PR_AUC,unweighted_AUROC,unweighted_PR_AUC,weighted_Brier,weighted_log_loss,unweighted_Brier,unweighted_log_loss,calibration_intercept,calibration_slope,observed_expected_ratio,weighted_observed_prevalence,weighted_mean_predicted_probability,calibration_in_the_large,sensitivity,specificity,PPV,NPV,F1,uacr_method
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,xgboost,2013-2014,2342,236,combined_fasting_weight,0.5,fixed_0.50,0.8665422792997972,0.4139093440380756,0.8477111400840215,0.4013316136731314,0.0620826550190238,0.2144723178635113,0.0730081722140312,0.2473270979829178,0.1123376011320435,1.1361547641415517,0.9266831854313408,0.0862164379157801,0.093037663001999,-0.08363635111629,0.1864406779661017,0.9862298195631528,0.6027397260273972,0.9153812252093432,0.284789644012945,complete_case_refit
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,xgboost,2013-2014,2342,236,combined_fasting_weight,0.5,fixed_0.50,0.8684119711162044,0.449540435008086,0.8561152960870475,0.4377735572173061,0.0604865208034552,0.2110927798882141,0.0707940980792045,0.2410856578955545,0.0856213065200915,1.1295358558032682,0.9186273952520568,0.0862164379157801,0.0938535453671329,-0.0932674824610413,0.2288135593220339,0.9843304843304844,0.6206896551724138,0.9192904656319292,0.3343653250773994,complete_case_refit
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,xgboost,2015-2016,2222,261,combined_fasting_weight,0.5,fixed_0.50,0.865462865423458,0.3986948396137216,0.8374255843351484,0.3979687328458545,0.0645640337714026,0.221330807611377,0.0840160623192787,0.2783751721692475,0.114207738882839,1.1524118338735894,0.9153242307193112,0.0895671647115393,0.097852937468019,-0.09761950828964,0.1455938697318007,0.98419173890872,0.5507246376811594,0.8964235949837436,0.2303030303030303,complete_case_refit
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,xgboost,2015-2016,2222,261,combined_fasting_weight,0.5,fixed_0.50,0.873911860090062,0.4354945997564661,0.8489979895314963,0.4321413368942177,0.0627658098496906,0.2158033332038731,0.0814312025904655,0.2707046973824757,0.1942755244345553,1.1882301439779206,0.932097017249436,0.0895671647115393,0.0960921052787475,-0.0775110347244947,0.1800766283524904,0.9831718510963794,0.5875,0.900093370681606,0.2756598240469208,complete_case_refit
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,xgboost,2017-2018,2250,277,combined_fasting_weight,0.5,fixed_0.50,0.8246379975413023,0.3173444595157009,0.8141297406687026,0.3639178627280331,0.0769186856033633,0.259179508317179,0.0927616953849792,0.3033472853733407,-0.2772449191704758,0.849444975924597,0.9743817874272134,0.0980661158727433,0.1006444467026421,-0.0288148365027041,0.1841155234657039,0.966548403446528,0.4358974358974359,0.8940459446788561,0.2588832487309645,complete_case_refit
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,xgboost,2017-2018,2250,277,combined_fasting_weight,0.5,fixed_0.50,0.8185322601449264,0.3283550264166676,0.8197306233429273,0.398221561349396,0.0782559936508476,0.2639655553685761,0.0916457846760749,0.3001774334090171,-0.3729456468628008,0.7820611607537021,0.9898700494490678,0.0980661158727433,0.0990696869021585,-0.0112949151708252,0.2382671480144404,0.9655347187024836,0.4925373134328358,0.9002835538752363,0.3211678832116789,complete_case_refit
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2005-2006,4305,495,combined_mec_weight,0.5,fixed_0.50,0.846787216075961,0.3680048861755281,0.8378981415201887,0.3969790644429845,0.0647393324495062,0.2249662620894263,0.0828262291783178,0.2756545729874116,0.1254936723698448,1.0023003239445007,1.095184061087872,0.0867706261782064,0.0792292631541908,0.0991464382686864,0.1313131313131313,0.9858267716535432,0.5462184873949579,0.8972766364070712,0.2117263843648208,complete_case_refit
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2007-2008,5467,626,combined_mec_weight,0.5,fixed_0.50,0.8475188980187026,0.365857250175191,0.8230189680398989,0.3650717194218437,0.0625412764840933,0.2179287668042995,0.085323275260117,0.2833204315924624,0.0310974940691428,1.0092398181598186,1.0112307860795016,0.0832118400500983,0.0822876846666299,0.012175717220487,0.1166134185303514,0.9843007643048955,0.4899328859060403,0.8960135389244077,0.1883870967741935,complete_case_refit
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2009-2010,5860,617,combined_mec_weight,0.5,fixed_0.50,0.8446291298664512,0.3457925431210616,0.839638001552429,0.3852226825991732,0.0617931675475706,0.215493384310052,0.0773879350379662,0.2594407455606254,-0.1518607193671436,0.9546608415271964,0.946014674556558,0.0801519788171177,0.0847259360481789,-0.060482115992956,0.1620745542949757,0.9820713332061796,0.5154639175257731,0.9087539710554184,0.2466091245376078,complete_case_refit
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2011-2012,5143,515,combined_mec_weight,0.5,fixed_0.50,0.8352909416904049,0.3549743202899936,0.8272515964454441,0.3495193958506722,0.0635769248149757,0.224098217471024,0.0764690344246816,0.259173373699948,-0.0914134688059647,0.9401316709668492,1.010506627381745,0.0836135229914651,0.0827441609246151,0.0114000515986072,0.1262135922330097,0.9857389801210026,0.4961832061068702,0.9102154828411811,0.2012383900928792,complete_case_refit
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2013-2014,5403,543,combined_mec_weight,0.5,fixed_0.50,0.843375715137635,0.3605443357530484,0.8361817823553039,0.3815830515748404,0.0646352915278697,0.2241014575375213,0.0747471923494463,0.2530705225589499,-0.0531535771532043,0.9889442167893588,0.9743883792846496,0.0852595184918081,0.0875005493747798,-0.0283982229960479,0.1215469613259668,0.9880658436213992,0.532258064516129,0.9096419776472816,0.1979010494752623,complete_case_refit
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2015-2016,5279,570,combined_mec_weight,0.5,fixed_0.50,0.8631982461200023,0.35544840690617,0.8419640628434538,0.3698974226617596,0.0638258474659039,0.2166420206505629,0.0796073309311628,0.263362078213466,0.060450906119013,1.0741696602601252,0.9558860537537808,0.0850460848616238,0.0889709443166855,-0.049415470681732,0.1228070175438596,0.9864090040348268,0.5223880597014925,0.902818270165209,0.1988636363636363,complete_case_refit
