comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,metric,point_estimate,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower,ci_upper,ci_level,ci_method,replicate_method,n_replicates_requested,n_replicates_valid,valid_replicate_fraction,design_df
combined,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_combined,model4_combined,delta_AUROC,0.007182978959240582,0.007174922765703243,-8.056193537339142e-06,0.001690796548869151,0.003939499423623744,0.010586098892800985,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
combined,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_combined,model4_combined,delta_PR_AUC,0.024061580693437,0.024262924297107802,0.0002013436036708005,0.006205157066807212,0.012426412336226723,0.03659299320309448,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
combined,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_combined,model4_combined,delta_Brier_improvement,0.0013818606356228724,0.0013777382969561121,-4.122338666760284e-06,0.00034525345914461703,0.0007142425415342207,0.0020438904857896594,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
combined,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_combined,model4_combined,delta_log_loss_improvement,0.004279748289582108,0.004265248805147431,-1.4499484434677551e-05,0.0009920916736152318,0.0024149651104929636,0.0062303793576395155,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
combined,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_combined,model4_combined,core_calibration_intercept,-0.03129755442804868,-0.03132191283253121,-2.4358404482532903e-05,0.05558300663708222,-0.14384241500842662,0.0747763314164745,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
combined,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_combined,model4_combined,extended_calibration_intercept,-0.03147196643708232,-0.03164077330654458,-0.00016880686946225965,0.05166653545195009,-0.13477045213447475,0.06886943413657291,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
combined,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_combined,model4_combined,core_calibration_slope,0.9823202894549972,0.9828341728179253,0.0005138833629281248,0.02642323404418324,0.9318967185232366,1.03865069555945,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
combined,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_combined,model4_combined,extended_calibration_slope,0.9814214173394624,0.9817558058005925,0.00033438846113009735,0.02349354520012544,0.9359967974789835,1.0309393854092042,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
combined,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_combined,model4_combined,absolute_intercept_deviation_change,-0.00017441200903364068,0.0024933924616367966,0.0026678044706704373,0.016220526259620578,-0.029401338170387755,0.034580276474802954,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
combined,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_combined,model4_combined,absolute_slope_deviation_change,-0.0008988721155347434,0.0012473179718070803,0.002146190087341824,0.009258347770433611,-0.016465346815523783,0.019649528132630777,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
